,sporty,coef_sporty,food_cat,definition
421,hamburgers,0.255149034,fast foods,"a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredients"
422,grapes,0.25478294,fruits,any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters
427,quinoa,0.252850183,herbs and spices,
429,sundae,0.251766663,sweets,ice cream served with a topping
433,pita,0.250600117,confectioneries,usually small round bread that can open into a pocket for filling
435,salmon,0.250348895,seafood,any of various large food and game fishes of northern waters; usually migrate from salt to fresh water to spawn
437,honey,0.249786223,sweets,a sweet yellow liquid produced by bees
444,wasabi,0.248088612,herbs and spices,a Japanese plant of the family Cruciferae with a thick green root
452,cabbage,0.24628846,vegetables,any of various types of cabbage
454,vintage,0.24598096,,a season's yield of wine from a vineyard
459,dressing,0.244965493,sauces,savory dressings for salads; basically of two kinds: either the thin French or vinaigrette type or the creamy mayonnaise type
466,mango,0.243772922,fruits,large evergreen tropical tree cultivated for its large oval fruit
475,rosemary,0.242288302,herbs and spices,widely cultivated for its fragrant grey-green leaves used in cooking and in perfumery
479,biscuits,0.241491315,confectioneries,small round bread leavened with baking-powder or soda
485,limes,0.240490168,fruits,a caustic substance produced by heating limestone
487,nectarine,0.240217633,fruits,variety or mutation of the peach bearing fruit with smooth skin and (usually) yellow flesh
495,chard,0.239530141,vegetables,beet lacking swollen root; grown as a vegetable for its edible leaves and stalks
501,veggies,0.23841542,vegetables,edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
508,cupcakes,0.237340053,confectioneries,small cake baked in a muffin tin
530,brews,0.232841557,alcoholic beverages,drink made by steeping and boiling and fermenting rather than distilling
535,tomato,0.232043182,vegetables,mildly acid red or yellow pulpy fruit eaten as a vegetable
541,muffins,0.230270043,confectioneries,a sweet quick bread baked in a cup-shaped pan
543,sourdough,0.229713363,cereal grains and pasta,a leaven of dough in which fermentation is active; used by pioneers for making bread
553,shiitake,0.227943706,vegetables,edible east Asian mushroom having a golden or dark brown to blackish cap and an inedible stipe
561,citrus,0.226962993,citrus,any of numerous fruits of the genus Citrus having thick rind and juicy pulp; grown in warm regions
571,flatbread,0.225938529,confectioneries,any of various breads made from usually unleavened dough
585,spaghetti,0.223034487,cereal grains and pasta,spaghetti served with a tomato sauce
594,stout,0.221536079,alcoholic beverages,a strong very dark heavy-bodied ale made from pale malt and roasted unmalted barley and (often) caramel malt with hops
595,bagels,0.221280314,confectioneries,(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust
599,provisions,0.22021449,,a stock or supply of foods
605,lobster,0.219620617,seafood,flesh of a lobster
611,biscuit,0.2187927,,small round bread leavened with baking-powder or soda
628,balsamic,0.216856406,sauces,of or relating to or containing balsam
640,bock,0.214266202,alcoholic beverages,a very strong lager traditionally brewed in the fall and aged through the winter for consumption in the spring
657,walrus,0.211491665,seafood,either of two large northern marine mammals having ivory tusks and tough hide over thick blubber
662,acorn,0.210613902,,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
669,concoction,0.208981911,,any foodstuff made by combining different ingredients
672,snack,0.208659564,snack foods,a light informal meal
682,grits,0.207218157,vegetables,coarsely ground hulled corn boiled as a breakfast dish in the southern United States
702,cheeseburger,0.203561408,fast foods,a hamburger with melted cheese on it
705,beef,0.203165961,meats,cattle that are reared for their meat
729,breakfasts,0.200037637,,the first meal of the day (usually in the morning)
748,popcorn,0.19794571,snack foods,corn having small ears and kernels that burst when exposed to dry heat
756,sprinkles,0.197157394,sweets,bits of sweet chocolate used as a topping on e.g. ice cream
792,pea,0.192359394,vegetables,seed of a pea plant used for food
804,lentil,0.191898446,vegetables,round flat seed of the lentil plant used for food
811,patty,0.191557016,meats,small flat mass of chopped food
821,scones,0.189853661,confectioneries,small biscuit (rich with cream and eggs) cut into diamonds or sticks and baked in an oven or (especially originally) on a griddle
845,cola,0.187613171,beverages,large genus of African trees bearing kola nuts
853,brittle,0.186780882,sweets,caramelized sugar cooled in thin sheets
875,tortillas,0.184464202,dishes,thin unleavened pancake made from cornmeal or wheat flour
879,lemons,0.18406106,fruits,yellow oval fruit with juicy acidic flesh
887,rib,0.183210887,meats,support resembling the rib of an animal
915,crisp,0.180064405,,a thin crisp slice of potato fried in deep fat
918,trifle,0.179829387,,"a cold pudding made of layers of sponge cake spread with fruit or jelly; may be decorated with nuts, cream, or chocolate"
920,garlic,0.179796441,vegetables,bulbous herb of southern Europe widely naturalized; bulb breaks up into separate strong-flavored cloves
923,walnuts,0.179055597,nuts,nut of any of various walnut trees having a wrinkled two-lobed seed with a hard shell
936,leftovers,0.177628216,,food remaining from a previous meal
951,gimlet,0.176470099,,a cocktail made of gin or vodka and lime juice
957,fruit,0.175983672,fruits,the ripened reproductive body of a seed plant
958,ales,0.175954972,alcoholic beverages,a general name for beer made with a top fermenting yeast; in some of the United States an ale is (by law) a brew of more than 4% alcohol by volume
972,apricot,0.174643854,fruits,Asian tree having clusters of usually white blossoms and edible fruit resembling the peach
984,saute,0.17361683,,a dish of sauteed food
986,goose,0.173386662,poultry,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks
990,loin,0.172738766,meats,a cut of meat taken from the side and back of an animal between the ribs and the rump
993,dessert,0.172479303,,a dish served as the last course of a meal
1003,poppy,0.171680872,herbs and spices,annual or biennial or perennial herbs having showy flowers
1006,enchiladas,0.170862381,dishes,tortilla with meat filling baked in tomato sauce seasoned with chili
1012,topping,0.170364208,baking goods,a flavorful addition on top of a dish
1016,chocolates,0.170090562,beverages,a beverage made from cocoa powder and milk and sugar; usually drunk hot
1018,baguette,0.170058612,dairy,narrow French stick loaf
1025,sashimi,0.169597176,seafood,very thinly sliced raw fish
1026,pepper,0.169546256,herbs and spices,climber having dark red berries (peppercorns) when fully ripe; southern India and Sri Lanka; naturalized in northern Burma and Assam
1049,shrimp,0.167430192,seafood,disparaging terms for small people
1050,oat,0.16733204,cereal grains and pasta,annual grass of Europe and North Africa; grains used as food and fodder (referred to primarily in the plural: `oats')
1089,fishes,0.164692409,seafood,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
1104,apricots,0.163446797,fruits,Asian tree having clusters of usually white blossoms and edible fruit resembling the peach
1130,pineapple,0.161109074,fruits,a tropical American plant bearing a large fleshy edible fruit with a terminal tuft of stiff leaves; widely cultivated in the tropics
1134,granola,0.160909729,breakfast cereals,cereal made of especially rolled oats with dried fruits and nuts and honey or brown sugar
1148,vanilla,0.160052162,herbs and spices,any of numerous climbing plants of the genus Vanilla having fleshy leaves and clusters of large waxy highly fragrant white or green or topaz flowers
1153,banana,0.159852954,fruits,any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits
1156,catfish,0.159369068,seafood,flesh of scaleless food fish of the southern United States; often farmed
1163,tater,0.158753673,,an edible tuber native to South America; a staple food of Ireland
1173,gyro,0.15821383,fast foods,a Greek sandwich: sliced roast lamb with onion and tomato stuffed into pita bread
1184,fontina,0.15738548,dairy,
1202,grinder,0.156336418,,a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States
1207,halibut,0.156078486,seafood,lean flesh of very large flatfish of Atlantic or Pacific
1220,linguini,0.154845358,cereal grains and pasta,pasta in long slender flat strips
1239,curd,0.153447894,sauces,a coagulated liquid resembling milk curd
1244,confit,0.153326166,meats,a piece of meat (especially a duck) cooked slowly in its own fat
1257,eggplant,0.15245467,vegetables,egg-shaped vegetable having a shiny skin typically dark purple but occasionally white or yellow
1260,peppermint,0.152175614,herbs and spices,herb with downy leaves and small purple or white flowers that yields a pungent oil used as a flavoring
1276,oxtail,0.151363066,soups,the skinned tail of cattle; used especially for soups
1277,parfaits,0.151284412,sweets,layers of ice cream and syrup and whipped cream
1282,messing,0.150622409,,eat in a mess hall
1283,tofu,0.150490189,soy,cheeselike food made of curdled soybean milk
1297,puffed,0.149991913,,smoke and exhale strongly
1302,vegetable,0.149655985,vegetables,edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
1313,tart,0.148995615,sweets,a woman who engages in sexual intercourse for money
1333,sandwiches,0.147661875,fast foods,two (or more) slices of bread with a filling between them
1355,turtle,0.146086846,,a sweater or jersey with a high close-fitting collar
1375,lemonade,0.144489959,beverages,sweetened beverage of diluted lemon juice
1378,peanut,0.144102114,nuts,underground pod of the peanut vine
1401,lasagna,0.142414589,dishes,baked dish of layers of lasagna pasta with sauce and cheese and meat or vegetables
1429,amaretto,0.140180695,alcoholic beverages,an Italian almond liqueur
1451,brunch,0.138965577,,combination breakfast and lunch; usually served in late morning
1464,mousse,0.138000483,sweets,"a rich, frothy, creamy dessert made with whipped egg whites and heavy cream"
1510,coriander,0.135125337,herbs and spices,Old World herb with aromatic leaves and seed resembling parsley
1546,fig,0.1324705,fruits,a diagram or picture illustrating textual material
1550,chutney,0.132287071,sauces,a spicy condiment made of chopped fruits or vegetables cooked in vinegar and sugar with ginger and spices
1555,parmesan,0.13200181,dairy,hard dry sharp-flavored Italian cheese; often grated
1557,shank,0.131946273,meats,a cut of meat (beef or veal or mutton or lamb) from the upper part of the leg
1568,rigatoni,0.131510427,cereal grains and pasta,tubular pasta in short ribbed pieces
1580,spices,0.130657635,herbs and spices,aromatic substances of vegetable origin used as a preservative
1596,chuck,0.129861421,,informal terms for a meal
1626,horseradish,0.128050597,vegetables,the root of the horseradish plant; it is grated or ground and used for seasoning
1632,bun,0.127910432,fast foods,small rounded bread either plain or sweet
1651,meat,0.127017876,meats,the flesh of animals (including fishes and birds and snails) used as food
1678,turkey,0.125837045,poultry,large gallinaceous bird with fan-shaped tail; widely domesticated for food
1683,plum,0.125606102,fruits,any of several trees producing edible oval fruit having a smooth skin and a single hard stone
1697,salt,0.124935026,herbs and spices,a compound formed by replacing hydrogen in an acid by a metal (or a radical that acts like a metal)
1713,beignet,0.124459623,confectioneries,"a deep-fried, yeast-raised doughnut dusted with confectioners' sugar"
1761,enchilada,0.122385838,dishes,tortilla with meat filling baked in tomato sauce seasoned with chili
1770,gourd,0.121956445,vegetables,bottle made from the dried shell of a bottle gourd
1781,snacking,0.121329959,snack foods,eat a snack; eat lightly
1791,wonton,0.121031307,dishes,a Chinese dumpling filled with spiced minced pork; usually served in soup
1795,condiment,0.12086125,,a preparation (a sauce or relish or spice) to enhance flavor or enjoyment
1824,ricotta,0.11941956,dairy,soft Italian cheese like cottage cheese
1835,downed,0.119034516,,drink down entirely
1839,nachos,0.118953289,dishes,a tortilla chip topped with cheese and chili-pepper and broiled
1840,tamarind,0.118930305,fruits,long-lived tropical evergreen tree with a spreading crown and feathery evergreen foliage and fragrant flowers yielding hard yellowish wood and long pods with edible chocolate-colored acidic pulp
1881,pomegranates,0.117160273,fruits,shrub or small tree native to southwestern Asia having large red many-seeded fruit
1889,mushroom,0.116766535,vegetables,common name for an edible agaric (contrasting with the inedible toadstool)
1890,ravioli,0.116766504,cereal grains and pasta,small circular or square cases of dough with savory fillings
1891,onions,0.116720818,vegetables,the bulb of an onion plant
1896,peppercorn,0.116541376,herbs and spices,pungent seasoning from the berry of the common pepper plant of East India; use whole or ground
1898,nutrients,0.11628364,,any substance that can be metabolized by an animal to give energy and build tissue
1902,butters,0.116165969,fats and oils,an edible emulsion of fat globules made by churning milk or cream; for cooking and table use
1911,marc,0.115645476,,made from residue of grapes or apples after pressing
1914,veg,0.115598739,vegetables,edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
1918,falafel,0.115522125,dishes,small croquette of mashed chick peas or fava beans seasoned with sesame seeds
1925,marshmallows,0.115278684,sweets,spongy confection made of gelatin and sugar and corn syrup and dusted with powdered sugar
1934,grapefruit,0.114943361,fruits,citrus tree bearing large round edible fruit having a thick yellow rind and juicy somewhat acid pulp
1948,naan,0.114475299,,leavened bread baked in a clay oven in India; usually shaped like a teardrop
1952,grub,0.114275046,,informal terms for a meal
1959,pork,0.11408201,meats,meat from a domestic hog or pig
1972,oregano,0.113679071,herbs and spices,aromatic Eurasian perennial
1977,sesame,0.11348967,herbs and spices,East Indian annual erect herb; source of sesame seed or benniseed and sesame oil
1978,cucumber,0.113411849,vegetables,a melon vine of the genus Cucumis; cultivated from earliest times for its cylindrical green fruit
